code,name,location,lat,lng,water_type,prefecture,jma_area_code,start_direction,seasonal_wind_name,seasonal_wind_dir,seasonal_wind_season,seasonal_wind_note
01,桐生,群馬県みどり市,36.404,139.291,湖,群馬,100000,0,赤城おろし,北西,冬〜春,赤城山から吹き下ろす冷たく乾燥した強風。1マークに白波が立ち安定板使用時はモーター性能差が拡大し差しが決まりやすくなる
02,戸田,埼玉県戸田市,35.820,139.677,川,埼玉,110000,55,,,,
03,江戸川,東京都江戸川区,35.700,139.880,川,東京,130000,0,,,,
04,平和島,東京都大田区,35.576,139.737,海,東京,130000,0,,,,
05,多摩川,東京都府中市,35.668,139.477,川,東京,130000,90,,,,
06,浜名湖,静岡県湖西市,34.756,137.568,湖,静岡,220000,70,遠州の空っ風,北西,冬,冬に吹く冷たく乾燥した強い季節風。広大な水面で遮るものがなく影響が特に大きい。冬は追い風でイン有利・夏は向かい風でセンター差しが増える
07,蒲郡,愛知県蒲郡市,34.826,137.229,海,愛知,230000,270,,,,
08,常滑,愛知県常滑市,34.887,136.821,海,愛知,230000,90,,,,
09,津,三重県津市,34.730,136.508,海,三重,240000,0,鈴鹿おろし,北西,冬,鈴鹿山脈から吹き下ろす冷たく乾燥した北西の季節風。向かい風になり水面が荒れやすく全国有数の荒水面に。夏は伊勢湾からの南風（追い風）でイン有利
10,三国,福井県坂井市,36.198,136.127,海,福井,180000,0,,,,
11,びわこ,滋賀県大津市,35.030,135.870,湖,滋賀,250000,0,比良おろし,北西,冬〜春,比良山地から琵琶湖に吹き下ろす強い北西風。春先は全水面に目に見えるうねりが広がる。「びわこ巧者」と呼ばれる波乗り上手が有利になる
12,住之江,大阪府大阪市,34.610,135.463,海,大阪,270000,0,,,,
13,尼崎,兵庫県尼崎市,34.726,135.411,海,兵庫,280000,180,六甲おろし,北西,冬,六甲山から吹き下ろす北西風。向かい風になりまくりが決まりやすくなる。夏は甲子園方面からの海風「浜風」が反対方向から吹く
14,鳴門,徳島県鳴門市,34.193,134.604,海,徳島,360000,45,,,,
15,丸亀,香川県丸亀市,34.281,133.782,海,香川,370000,0,,,,
16,児島,岡山県倉敷市,34.491,133.776,海,岡山,330000,70,,,,
17,宮島,広島県廿日市市,34.296,132.319,海,広島,340000,45,,,,
18,徳山,山口県周南市,33.953,131.863,海,山口,350000,60,,,,
19,下関,山口県下関市,33.953,130.926,海,山口,350000,225,,,,
20,若松,福岡県北九州市,33.897,130.763,海,福岡,400000,90,,,,
21,芦屋,福岡県遠賀郡,33.893,130.643,海,福岡,400000,270,,,,
22,福岡,福岡県福岡市,33.578,130.399,海,福岡,400000,0,,,,
23,唐津,佐賀県唐津市,33.449,129.974,海,佐賀,410000,0,,,,
24,大村,長崎県大村市,32.921,129.974,海,長崎,420000,60,,,,
